title,discounted_price,normal_price,url
1.4 inch Immunity Monitor Fitness Tracker Waterproof Smart Watch,$14.59,$20.43 ,https://www.cigabuy.com/14-inch-immunity-monitor-fitness-tracker-waterproof-smart-watch-p-19465.html
Printed Yoga Pants Women Sport Leggings Tight Trouser Pencil Sport,$3.95,$16.80 ,https://www.cigabuy.com/printed-yoga-pants-women-sport-leggings-tight-trouser-pencil-sport-p-19618.html
H50 Smart Watch Blood Pressure Heart Rate Monitor IP67 Waterproof Bracelet,$13.52,$20.43 ,https://www.cigabuy.com/h50-smart-watch-blood-pressure-heart-rate-monitor-ip67-waterproof-bracelet-p-19464.html
USB Rechargeable Aluminum Alloy Battery Display Telescopic Zoom LED Flashlight,$5.65,$19.98 ,https://www.cigabuy.com/usb-rechargeable-aluminum-alloy-battery-display-telescopic-zoom-led-flashlight-p-19461.html
Universal USB Quick Charge 3.0 Wall Adapter Android Mobile Phone Fast Charger,$2.16,$5.57 ,https://www.cigabuy.com/universal-usb-quick-charge-30-wall-adapter-android-mobile-phone-fast-charger-p-19475.html
B9 TWS 5.0 Bluetooth Earbud 8D Stereo Smart Touch Control Wireless Earphones,$8.97,$21.39 ,https://www.cigabuy.com/b9-tws-50-bluetooth-earbud-8d-stereo-smart-touch-control-wireless-earphones-p-19474.html
Mini Electrical Screwdriver power tools 3.6V Rechargeable Cordless Power Drill,$8.20,$21.39 ,https://www.cigabuy.com/mini-electrical-screwdriver-power-tools-36v-rechargeable-cordless-power-drill-p-19576.html
100 LED Solar Light  Solar Lamp Powered Sunlight 3 Modes PIR Motion Sensor,$3.68,$15.94 ,https://www.cigabuy.com/100-led-solar-light-solar-lamp-powered-sunlight-3-modes-pir-motion-sensor-p-19318.html
Biker Gloves Motorcross Full Finger Motorcycle Bicycle Cycling Waterproof Glove,$4.59,$20.47 ,https://www.cigabuy.com/biker-gloves-motorcross-full-finger-motorcycle-bicycle-cycling-waterproof-glove-p-19607.html
K2 Powerful Bass USB Notebook Stereo Speakers Subwoofer Full Frequency Speaker,$6.93,$48.17 ,https://www.cigabuy.com/k2-powerful-bass-usb-notebook-stereo-speakers-subwoofer-full-frequency-speaker-p-19451.html
5.0 Bluetooth Adapter Led Screen Wireless Audio Blue Tooth Transmitter Receiver,$8.42,$19.56 ,https://www.cigabuy.com/50-bluetooth-adapter-led-screen-wireless-audio-blue-tooth-transmitter-receiver-p-19470.html
USB Blackhead Remover Face Skin Care Deep Pore Cleaner Removal Vacuum Suction,$5.01,$18.54 ,https://www.cigabuy.com/usb-blackhead-remover-face-skin-care-deep-pore-cleaner-removal-vacuum-suction-p-19621.html
