rating,number_of_reviews,name
4.0,12,Intro to Descriptive Statistics
4.8,13,Queuing Theory: from Markov Chains to Multi-Server Systems
4.8,10,Introduction to Statistics: Descriptive Statistics
4.6,8,Calculus: Single Variable Part 1 - Functions
4.4,12,Introduction to Linear Models and Matrix Algebra
4.2,12,Linear Algebra - Foundations to Frontiers
4.5,13,Introduction to Renormalization
4.8,350,Matrix Algebra for Engineers
3.3,14,College Algebra
4.7,25,Tutorials for Complex Systems
4.6,14,Effective Thinking Through Mathematics
0.0,0,2.- El Cálculo - Modelo Cuadrático
3.8,11,Basic Statistics
4.2,15,How to Learn Math: For Students
4.8,18,Introduction to Algebra
4.6,10,Maximum Entropy Methods
4.0,1,Pre-Calculus
0.0,0,1.- El Cálculo - Modelo Lineal
4.9,28,Bases Matemáticas: Derivadas
0.0,0,3.- El Cálculo - Modelo Cúbico
0.0,0,4.- El Cálculo - Otros Modelos
0.0,0,Structural Equation Model and its Applications | 结构方程模型及其应用 (粤语)
5.0,1,Теория вероятностей для начинающих
0.0,0,Теория графов
0.0,0,Introduction à la théorie de Galois
0.0,0,Современная комбинаторика (Modern combinatorics)
0.0,0,Случайные графы
4.9,8,Convex Optimization
0.0,0,Algebra and Trigonometry
4.5,8,Intro to Inferential Statistics
3.4,8,Intro Algebra Review
4.8,8,Introduction to Geometry
4.7,34,"Advanced Precalculus: Geometry, Trigonometry and Exponentials"
5.0,1,Комбинаторика для начинающих
4.1,29,Statistical Learning
4.7,9,Introduction to Differential Equations
4.9,32,Probability - The Science of Uncertainty and Data
4.6,34,Bases Matemáticas: Álgebra
3.4,37,Intro to Statistics
3.7,9,Introduction to Information Theory
4.8,35,"Precalculus: the Mathematics of Numbers, Functions and Equations"
4.3,118,Estadística Aplicada a los Negocios
4.8,69,Bases Matemáticas: Números y terminología
4.7,146,Mathematical Economics
4.4,50,Introduction to Mathematical Thinking
4.9,54,Fractals and Scaling
4.9,205,Differential Equations for Engineers
4.9,174,Fibonacci Numbers and the Golden Ratio
4.8,170,Vector Calculus for Engineers
4.8,119,Introduction to Dynamical Systems and Chaos
0.0,0,Теория вероятностей - наука о случайности
0.0,0,Inferential Statistics
3.0,3,Linear Regression and Modeling 
0.0,0,Fundamentos de probabilidad y aplicaciones
0.0,0,Fundamentos de estadística aplicada
3.5,6,Introduction to Probability and Data with R
5.0,5,Calculus: Single Variable Part 2 - Differentiation
0.0,0,Statistics with R Capstone
5.0,1,Estadística y probabilidad
0.0,0,离散数学
0.0,0,Aprendizaje de las matemáticas de primaria
0.0,0,Funciones algebraicas y trascendentes 
5.0,1,Mathematics for economists
0.0,0,Delivery Problem
0.0,0,Precalculus: Relations and Functions
4.3,4,Calculus: Single Variable Part 3 - Integration
0.0,0,What are the Chances? Probability and Uncertainty in Statistics
4.7,3,Calculus: Single Variable Part 4 - Applications
0.0,0,Precalculus: Periodic Functions
0.0,0,Linear Regression for Business Statistics
0.0,0,Business Applications of Hypothesis Testing and Confidence Interval Estimation 
0.0,0,Смешанные линейные модели
0.0,0,Geometría Analítica Preuniversitaria
0.0,0,Qualitative Comparative Analysis (QCA)
0.0,0,Математические методы и модели в экономике
5.0,1,Improving your statistical inferences
0.0,0,Математика для всех
5.0,1,Bayesian Statistics: Techniques and Models
0.0,0,Применение производной и интеграла в курсе общей физики
4.7,3,Probability and Statistics: To p or not to p?
0.0,0,Теория функций комплексного переменного
0.0,0,Doğrusal Cebir I: Uzaylar ve İşlemciler / Linear Algebra I: Spaces and Operators
0.0,0,"Doğrusal Cebir II: Kare Matrisler, Hesaplama Yöntemleri ve Uygulamalar / Linear Algebra II: Square Matrices, Calculation Methods and Applications"
0.0,0,Aléatoire : une introduction aux probabilités - Partie 2
0.0,0,Линейная алгебра (Linear Algebra)
0.0,0,Estatística não-paramétrica para a tomada de decisão
0.0,0,Çok değişkenli Fonksiyon II: Uygulamalar / Multivariable Calculus II: Applications
4.5,2,Aléatoire : une introduction aux probabilités - Partie 1
0.0,0,Математическая теория игр
5.0,5,Introduction to Calculus
0.0,0,Computational Geometry
0.0,0,Automated Reasoning: satisfiability
